step,section_0_payload,section_1_payload,section_2_payload,section_1_reward,section_2_reward,section_0_reward
1,0.0,0.0,0.0,0.0,0.0,0.0
2,717.768,699.5585000000001,319.3224999999999,0.0,0.0,0.0
3,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,0.0,0.0
4,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,0.0
5,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,10.0
6,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,10.0
7,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,10.0
8,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,10.0
9,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,10.0
10,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,10.0
11,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,10.0
12,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,10.0
13,586.7125333333329,625.564,279.24737619047636,-63.99450000000013,10.0,10.0
14,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,20.78140833333373
15,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,20.78140833333373
16,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
17,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
18,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
19,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
20,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
21,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
22,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
23,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
24,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
25,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
26,597.4939416666666,619.4333333333334,279.24737619047636,-63.99450000000013,10.0,10.0
27,760.6934999999997,552.7303936147185,279.24737619047636,-63.99450000000013,10.0,173.19955833333313
28,760.6934999999997,552.7303936147185,279.24737619047636,10.0,10.0,173.19955833333313
29,760.6934999999997,552.7303936147185,279.24737619047636,10.0,10.0,173.19955833333313
30,760.6934999999997,552.7303936147185,279.24737619047636,10.0,10.0,173.19955833333313
31,760.6934999999997,552.7303936147185,279.24737619047636,10.0,10.0,173.19955833333313
32,760.6934999999997,552.7303936147185,279.24737619047636,10.0,10.0,173.19955833333313
33,760.6934999999997,552.7303936147185,279.24737619047636,10.0,10.0,173.19955833333313
34,597.4939416666666,619.4333333333334,279.24737619047636,76.70293971861486,10.0,173.19955833333313
